,outcome,trialname,diff,diff.se,diff.huang,diff.se,type
,bodyweight,AMPLITUDE-O,-2.59,,2.59,,GLP1
16,bodyweight,ELIXA,-1.2,0.817800697,0.7,0.817800697,GLP1
33,bodyweight,EXSCEL,-1.238,NA,1.27,,GLP1
36,bodyweight,FREEDOM-CVO,-2.532,1.241332014,,1.241332014,GLP1
39,bodyweight,Harmony Outcomes,-1.08,2.603452704,0.42,2.603452704,GLP1
42,bodyweight,LEADER,-2.502,NA,2.3,,GLP1
45,bodyweight,PIONEER 6,-2.675,1.663604222,2.605,1.663604222,GLP1
48,bodyweight,REWIND,-1.643,NA,1.46,,GLP1
31,bodyweight,SUSTAIN-6,-3.832487047,0.372350039,3.61,0.372350039,GLP1
3,bodyweight,CANVAS program,-2.044,NA,1.6,,SGLT2
6,bodyweight,CREDENCE,-1.33,0.408900349,,0.408900349,SGLT2
12,bodyweight,DECLARE-TIMI 58,-1.787,0.31875788,1.8,0.31875788,SGLT2
19,bodyweight,EMPA-REG OUTCOME,-1.945041137,0.206424958,1.79,0.206424958,SGLT2
21,bodyweight,EMPEROR-Reduced,-0.182,NA,,,SGLT2
410,bodyweight,VERTIS CV,-2.205871965,0.147118034,2.1,0.147118034,SGLT2
1,hba1c,AMPLITUDE-O,-1.23,0.15952951,1.24,0.15952951,GLP1
17,hba1c,ELIXA,-0.202,0.166308459,0.27,0.166308459,GLP1
34,hba1c,EXSCEL,-0.528,NA,0.53,,GLP1
37,hba1c,FREEDOM-CVO,-1.39,0.139281611,,0.139281611,GLP1
40,hba1c,Harmony Outcomes,-0.555,0.07653904,0.57,0.07653904,GLP1
43,hba1c,LEADER,-0.717,NA,0.4,,GLP1
46,hba1c,PIONEER 6,-0.719,0.125498929,0.748,0.125498929,GLP1
49,hba1c,REWIND,-0.551,NA,0.61,,GLP1
111,hba1c,SUSTAIN-6,-1.011175862,0.080829824,0.86,0.080829824,GLP1
7,hba1c,CREDENCE,-0.22,2.19570646,,2.19570646,SGLT2
10,hba1c,DAPA-CKD,,NA,,,SGLT2
13,hba1c,DECLARE-TIMI 58,-0.551,0.083850045,0.42,0.083850045,SGLT2
51,hba1c,SOLOIST-WHF,,NA,,,SGLT2
91,hba1c,EMPA-REG OUTCOME,-0.487179487,NA,0.45,,SGLT2
101,hba1c,EMPEROR-Reduced,-0.19,0.083154229,,0.083154229,SGLT2
121,hba1c,VERTIS CV,-0.474998207,1.344692772,0.41,1.344692772,SGLT2
,hba1c,CANVAS program,-0.58,,0.58,,SGLT2
2,sbp,AMPLITUDE-O,-1.48,NA,1.48,,GLP1
18,sbp,ELIXA,-1.621,1.822792849,0.8,1.822792849,GLP1
35,sbp,EXSCEL,-2.003,NA,1.57,,GLP1
38,sbp,FREEDOM-CVO,,NA,,,GLP1
41,sbp,Harmony Outcomes,0.359,2.231305157,0.69,2.231305157,GLP1
44,sbp,LEADER,-1.954545455,NA,1.2,,GLP1
47,sbp,PIONEER 6,-2.6,NA,2.6,,GLP1
50,sbp,REWIND,-2.339,NA,1.7,,GLP1
71,sbp,SUSTAIN-6,-2.926468647,1.078159531,1.93,1.078159531,GLP1
4,sbp,CANVAS program,-4.595588235,0.334403688,3.93,0.334403688,SGLT2
8,sbp,CREDENCE,-3.24,1.068584875,,1.068584875,SGLT2
11,sbp,DAPA-CKD,,NA,,,SGLT2
14,sbp,DECLARE-TIMI 58,-2.911,0.937607214,2.7,0.937607214,SGLT2
52,sbp,SOLOIST-WHF,,NA,,,SGLT2
53,sbp,EMPA-REG OUTCOME,-3.261,0.63796903,3.43,0.63796903,SGLT2
61,sbp,EMPEROR-Reduced,,NA,,,SGLT2
81,sbp,VERTIS CV,-2.842496874,0.536446957,2.62,0.536446957,SGLT2